Company,Year,Issue,Description
GODREJCP,Mar 2024,Negative ROE,ROE below zero
HDFCBANK,Mar 2013,Financial Sector,ROCE benchmark skipped
HDFCBANK,Mar 2013,High Debt,Debt/Equity > 5
HDFCBANK,Mar 2014,Financial Sector,ROCE benchmark skipped
HDFCBANK,Mar 2014,High Debt,Debt/Equity > 5
HDFCBANK,Mar 2015,Financial Sector,ROCE benchmark skipped
HDFCBANK,Mar 2015,High Debt,Debt/Equity > 5
HDFCBANK,Mar 2016,Financial Sector,ROCE benchmark skipped
HDFCBANK,Mar 2016,High Debt,Debt/Equity > 5
HDFCBANK,Mar 2017,Financial Sector,ROCE benchmark skipped
HDFCBANK,Mar 2017,High Debt,Debt/Equity > 5
HDFCBANK,Mar 2018,Financial Sector,ROCE benchmark skipped
HDFCBANK,Mar 2018,High Debt,Debt/Equity > 5
HDFCBANK,Mar 2019,Financial Sector,ROCE benchmark skipped
HDFCBANK,Mar 2019,High Debt,Debt/Equity > 5
HDFCBANK,Mar 2020,Financial Sector,ROCE benchmark skipped
HDFCBANK,Mar 2020,High Debt,Debt/Equity > 5
HDFCBANK,Mar 2021,Financial Sector,ROCE benchmark skipped
HDFCBANK,Mar 2021,High Debt,Debt/Equity > 5
HDFCBANK,Mar 2022,Financial Sector,ROCE benchmark skipped
HDFCBANK,Mar 2022,High Debt,Debt/Equity > 5
HDFCBANK,Mar 2023,Financial Sector,ROCE benchmark skipped
HDFCBANK,Mar 2023,High Debt,Debt/Equity > 5
HDFCBANK,Mar 2024,Financial Sector,ROCE benchmark skipped
HDFCBANK,Mar 2024,High Debt,Debt/Equity > 5
HDFCBANK,TTM,Financial Sector,ROCE benchmark skipped
HDFCLIFE,Mar 2013,Financial Sector,ROCE benchmark skipped
HDFCLIFE,Mar 2014,Financial Sector,ROCE benchmark skipped
HDFCLIFE,Mar 2015,Financial Sector,ROCE benchmark skipped
HDFCLIFE,Mar 2016,Financial Sector,ROCE benchmark skipped
HDFCLIFE,Mar 2017,Financial Sector,ROCE benchmark skipped
HDFCLIFE,Mar 2018,Financial Sector,ROCE benchmark skipped
HDFCLIFE,Mar 2019,Financial Sector,ROCE benchmark skipped
HDFCLIFE,Mar 2020,Financial Sector,ROCE benchmark skipped
HDFCLIFE,Mar 2021,Financial Sector,ROCE benchmark skipped
HDFCLIFE,Mar 2022,Financial Sector,ROCE benchmark skipped
HDFCLIFE,Mar 2023,Financial Sector,ROCE benchmark skipped
HDFCLIFE,Mar 2024,Financial Sector,ROCE benchmark skipped
HDFCLIFE,TTM,Financial Sector,ROCE benchmark skipped
HINDALCO,Mar 2016,Negative ROE,ROE below zero
ICICIBANK,Mar 2013,Financial Sector,ROCE benchmark skipped
ICICIBANK,Mar 2013,High Debt,Debt/Equity > 5
ICICIBANK,Mar 2014,Financial Sector,ROCE benchmark skipped
ICICIBANK,Mar 2014,High Debt,Debt/Equity > 5
ICICIBANK,Mar 2015,Financial Sector,ROCE benchmark skipped
ICICIBANK,Mar 2015,High Debt,Debt/Equity > 5
ICICIBANK,Mar 2016,Financial Sector,ROCE benchmark skipped
ICICIBANK,Mar 2016,High Debt,Debt/Equity > 5
ICICIBANK,Mar 2017,Financial Sector,ROCE benchmark skipped
ICICIBANK,Mar 2017,High Debt,Debt/Equity > 5
ICICIBANK,Mar 2018,Financial Sector,ROCE benchmark skipped
ICICIBANK,Mar 2018,High Debt,Debt/Equity > 5
ICICIBANK,Mar 2019,Financial Sector,ROCE benchmark skipped
ICICIBANK,Mar 2019,High Debt,Debt/Equity > 5
ICICIBANK,Mar 2020,Financial Sector,ROCE benchmark skipped
ICICIBANK,Mar 2020,High Debt,Debt/Equity > 5
ICICIBANK,Mar 2021,Financial Sector,ROCE benchmark skipped
ICICIBANK,Mar 2021,High Debt,Debt/Equity > 5
ICICIBANK,Mar 2022,Financial Sector,ROCE benchmark skipped
ICICIBANK,Mar 2022,High Debt,Debt/Equity > 5
ICICIBANK,Mar 2023,Financial Sector,ROCE benchmark skipped
ICICIBANK,Mar 2023,High Debt,Debt/Equity > 5
ICICIBANK,Mar 2024,Financial Sector,ROCE benchmark skipped
ICICIBANK,Mar 2024,High Debt,Debt/Equity > 5
ICICIBANK,TTM,Financial Sector,ROCE benchmark skipped
ICICIGI,Mar 2013,Financial Sector,ROCE benchmark skipped
ICICIGI,Mar 2014,Financial Sector,ROCE benchmark skipped
ICICIGI,Mar 2015,Financial Sector,ROCE benchmark skipped
ICICIGI,Mar 2016,Financial Sector,ROCE benchmark skipped
ICICIGI,Mar 2017,Financial Sector,ROCE benchmark skipped
ICICIGI,Mar 2018,Financial Sector,ROCE benchmark skipped
ICICIGI,Mar 2019,Financial Sector,ROCE benchmark skipped
ICICIGI,Mar 2020,Financial Sector,ROCE benchmark skipped
ICICIGI,Mar 2021,Financial Sector,ROCE benchmark skipped
ICICIGI,Mar 2022,Financial Sector,ROCE benchmark skipped
ICICIGI,Mar 2023,Financial Sector,ROCE benchmark skipped
ICICIGI,Mar 2024,Financial Sector,ROCE benchmark skipped
ICICIGI,TTM,Financial Sector,ROCE benchmark skipped
ICICIPRULI,Mar 2013,Financial Sector,ROCE benchmark skipped
ICICIPRULI,Mar 2014,Financial Sector,ROCE benchmark skipped
ICICIPRULI,Mar 2015,Financial Sector,ROCE benchmark skipped
ICICIPRULI,Mar 2016,Financial Sector,ROCE benchmark skipped
ICICIPRULI,Mar 2017,Financial Sector,ROCE benchmark skipped
ICICIPRULI,Mar 2018,Financial Sector,ROCE benchmark skipped
ICICIPRULI,Mar 2019,Financial Sector,ROCE benchmark skipped
ICICIPRULI,Mar 2020,Financial Sector,ROCE benchmark skipped
ICICIPRULI,Mar 2021,Financial Sector,ROCE benchmark skipped
ICICIPRULI,Mar 2022,Financial Sector,ROCE benchmark skipped
ICICIPRULI,Mar 2023,Financial Sector,ROCE benchmark skipped
ICICIPRULI,Mar 2024,Financial Sector,ROCE benchmark skipped
ICICIPRULI,TTM,Financial Sector,ROCE benchmark skipped
INDUSINDBK,Mar 2013,Financial Sector,ROCE benchmark skipped
INDUSINDBK,Mar 2013,High Debt,Debt/Equity > 5
INDUSINDBK,Mar 2014,Financial Sector,ROCE benchmark skipped
INDUSINDBK,Mar 2014,High Debt,Debt/Equity > 5
INDUSINDBK,Mar 2015,Financial Sector,ROCE benchmark skipped
INDUSINDBK,Mar 2015,High Debt,Debt/Equity > 5
INDUSINDBK,Mar 2016,Financial Sector,ROCE benchmark skipped
INDUSINDBK,Mar 2016,High Debt,Debt/Equity > 5
INDUSINDBK,Mar 2017,Financial Sector,ROCE benchmark skipped
INDUSINDBK,Mar 2017,High Debt,Debt/Equity > 5
INDUSINDBK,Mar 2018,Financial Sector,ROCE benchmark skipped
INDUSINDBK,Mar 2018,High Debt,Debt/Equity > 5
INDUSINDBK,Mar 2019,Financial Sector,ROCE benchmark skipped
INDUSINDBK,Mar 2019,High Debt,Debt/Equity > 5
INDUSINDBK,Mar 2020,Financial Sector,ROCE benchmark skipped
INDUSINDBK,Mar 2020,High Debt,Debt/Equity > 5
INDUSINDBK,Mar 2021,Financial Sector,ROCE benchmark skipped
INDUSINDBK,Mar 2021,High Debt,Debt/Equity > 5
INDUSINDBK,Mar 2022,Financial Sector,ROCE benchmark skipped
INDUSINDBK,Mar 2022,High Debt,Debt/Equity > 5
INDUSINDBK,Mar 2023,Financial Sector,ROCE benchmark skipped
INDUSINDBK,Mar 2023,High Debt,Debt/Equity > 5
INDUSINDBK,Mar 2024,Financial Sector,ROCE benchmark skipped
INDUSINDBK,Mar 2024,High Debt,Debt/Equity > 5
INDUSINDBK,TTM,Financial Sector,ROCE benchmark skipped
IOC,Mar 2020,Negative ROE,ROE below zero
IRFC,Mar 2013,Financial Sector,ROCE benchmark skipped
IRFC,Mar 2013,High Debt,Debt/Equity > 5
IRFC,Mar 2014,Financial Sector,ROCE benchmark skipped
IRFC,Mar 2014,High Debt,Debt/Equity > 5
IRFC,Mar 2015,Financial Sector,ROCE benchmark skipped
IRFC,Mar 2015,High Debt,Debt/Equity > 5
IRFC,Mar 2016,Financial Sector,ROCE benchmark skipped
IRFC,Mar 2016,High Debt,Debt/Equity > 5
IRFC,Mar 2017,Financial Sector,ROCE benchmark skipped
IRFC,Mar 2017,High Debt,Debt/Equity > 5
IRFC,Mar 2018,Financial Sector,ROCE benchmark skipped
IRFC,Mar 2018,High Debt,Debt/Equity > 5
IRFC,Mar 2019,Financial Sector,ROCE benchmark skipped
IRFC,Mar 2019,High Debt,Debt/Equity > 5
IRFC,Mar 2020,Financial Sector,ROCE benchmark skipped
IRFC,Mar 2020,High Debt,Debt/Equity > 5
IRFC,Mar 2021,Financial Sector,ROCE benchmark skipped
IRFC,Mar 2021,High Debt,Debt/Equity > 5
IRFC,Mar 2022,Financial Sector,ROCE benchmark skipped
IRFC,Mar 2022,High Debt,Debt/Equity > 5
IRFC,Mar 2023,Financial Sector,ROCE benchmark skipped
IRFC,Mar 2023,High Debt,Debt/Equity > 5
IRFC,Mar 2024,Financial Sector,ROCE benchmark skipped
IRFC,Mar 2024,High Debt,Debt/Equity > 5
IRFC,TTM,Financial Sector,ROCE benchmark skipped
JINDALSTEL,Mar 2015,Negative ROE,ROE below zero
JINDALSTEL,Mar 2016,Negative ROE,ROE below zero
JINDALSTEL,Mar 2017,Negative ROE,ROE below zero
JINDALSTEL,Mar 2018,Negative ROE,ROE below zero
JINDALSTEL,Mar 2019,Negative ROE,ROE below zero
JINDALSTEL,Mar 2020,Negative ROE,ROE below zero
JIOFIN,Mar 2023,Financial Sector,ROCE benchmark skipped
JIOFIN,Mar 2024,Financial Sector,ROCE benchmark skipped
JIOFIN,TTM,Financial Sector,ROCE benchmark skipped
JSWSTEEL,Mar 2016,Negative ROE,ROE below zero
KOTAKBANK,Mar 2013,Financial Sector,ROCE benchmark skipped
KOTAKBANK,Mar 2013,High Debt,Debt/Equity > 5
KOTAKBANK,Mar 2014,Financial Sector,ROCE benchmark skipped
KOTAKBANK,Mar 2015,Financial Sector,ROCE benchmark skipped
KOTAKBANK,Mar 2016,Financial Sector,ROCE benchmark skipped
KOTAKBANK,Mar 2016,High Debt,Debt/Equity > 5
KOTAKBANK,Mar 2017,Financial Sector,ROCE benchmark skipped
KOTAKBANK,Mar 2017,High Debt,Debt/Equity > 5
KOTAKBANK,Mar 2018,Financial Sector,ROCE benchmark skipped
KOTAKBANK,Mar 2019,Financial Sector,ROCE benchmark skipped
KOTAKBANK,Mar 2019,High Debt,Debt/Equity > 5
KOTAKBANK,Mar 2020,Financial Sector,ROCE benchmark skipped
KOTAKBANK,Mar 2021,Financial Sector,ROCE benchmark skipped
KOTAKBANK,Mar 2022,Financial Sector,ROCE benchmark skipped
KOTAKBANK,Mar 2023,Financial Sector,ROCE benchmark skipped
KOTAKBANK,Mar 2024,Financial Sector,ROCE benchmark skipped
KOTAKBANK,TTM,Financial Sector,ROCE benchmark skipped
LICI,Mar 2019,Financial Sector,ROCE benchmark skipped
LICI,Mar 2019,High Debt,Debt/Equity > 5
LICI,Mar 2020,Financial Sector,ROCE benchmark skipped
LICI,Mar 2020,High Debt,Debt/Equity > 5
LICI,Mar 2021,Financial Sector,ROCE benchmark skipped
LICI,Mar 2022,Financial Sector,ROCE benchmark skipped
LICI,Mar 2023,Financial Sector,ROCE benchmark skipped
LICI,Mar 2024,Financial Sector,ROCE benchmark skipped
LICI,TTM,Financial Sector,ROCE benchmark skipped
LODHA,Mar 2011,High Debt,Debt/Equity > 5
LODHA,Mar 2019,High Debt,Debt/Equity > 5
M&M,Mar 2020,Negative ROE,ROE below zero
NAUKRI,Mar 2015,Negative ROE,ROE below zero
NAUKRI,Mar 2017,Negative ROE,ROE below zero
NAUKRI,Mar 2020,Negative ROE,ROE below zero
NAUKRI,Mar 2023,Negative ROE,ROE below zero
PFC,Mar 2013,Financial Sector,ROCE benchmark skipped
PFC,Mar 2013,High Debt,Debt/Equity > 5
PFC,Mar 2014,Financial Sector,ROCE benchmark skipped
PFC,Mar 2014,High Debt,Debt/Equity > 5
PFC,Mar 2015,Financial Sector,ROCE benchmark skipped
PFC,Mar 2015,High Debt,Debt/Equity > 5
PFC,Mar 2016,Financial Sector,ROCE benchmark skipped
PFC,Mar 2016,High Debt,Debt/Equity > 5
PFC,Mar 2017,Financial Sector,ROCE benchmark skipped
PFC,Mar 2017,High Debt,Debt/Equity > 5
PFC,Mar 2018,Financial Sector,ROCE benchmark skipped
PFC,Mar 2018,High Debt,Debt/Equity > 5
PFC,Mar 2019,Financial Sector,ROCE benchmark skipped
PFC,Mar 2019,High Debt,Debt/Equity > 5
PFC,Mar 2020,Financial Sector,ROCE benchmark skipped
PFC,Mar 2020,High Debt,Debt/Equity > 5
PFC,Mar 2021,Financial Sector,ROCE benchmark skipped
PFC,Mar 2021,High Debt,Debt/Equity > 5
PFC,Mar 2022,Financial Sector,ROCE benchmark skipped
PFC,Mar 2022,High Debt,Debt/Equity > 5
PFC,Mar 2023,Financial Sector,ROCE benchmark skipped
PFC,Mar 2023,High Debt,Debt/Equity > 5
PFC,Mar 2024,Financial Sector,ROCE benchmark skipped
PFC,Mar 2024,High Debt,Debt/Equity > 5
PFC,TTM,Financial Sector,ROCE benchmark skipped
PNB,Mar 2013,Financial Sector,ROCE benchmark skipped
PNB,Mar 2013,High Debt,Debt/Equity > 5
PNB,Mar 2014,Financial Sector,ROCE benchmark skipped
PNB,Mar 2014,High Debt,Debt/Equity > 5
PNB,Mar 2015,Financial Sector,ROCE benchmark skipped
PNB,Mar 2015,High Debt,Debt/Equity > 5
PNB,Mar 2016,Financial Sector,ROCE benchmark skipped
PNB,Mar 2016,High Debt,Debt/Equity > 5
PNB,Mar 2016,Negative ROE,ROE below zero
PNB,Mar 2017,Financial Sector,ROCE benchmark skipped
PNB,Mar 2017,High Debt,Debt/Equity > 5
PNB,Mar 2018,Financial Sector,ROCE benchmark skipped
PNB,Mar 2018,High Debt,Debt/Equity > 5
PNB,Mar 2018,Negative ROE,ROE below zero
PNB,Mar 2019,Financial Sector,ROCE benchmark skipped
PNB,Mar 2019,High Debt,Debt/Equity > 5
PNB,Mar 2019,Negative ROE,ROE below zero
PNB,Mar 2020,Financial Sector,ROCE benchmark skipped
PNB,Mar 2020,High Debt,Debt/Equity > 5
PNB,Mar 2021,Financial Sector,ROCE benchmark skipped
PNB,Mar 2021,High Debt,Debt/Equity > 5
PNB,Mar 2022,Financial Sector,ROCE benchmark skipped
PNB,Mar 2022,High Debt,Debt/Equity > 5
PNB,Mar 2023,Financial Sector,ROCE benchmark skipped
PNB,Mar 2024,Financial Sector,ROCE benchmark skipped
PNB,TTM,Financial Sector,ROCE benchmark skipped
RECLTD,Mar 2013,Financial Sector,ROCE benchmark skipped
RECLTD,Mar 2013,High Debt,Debt/Equity > 5
RECLTD,Mar 2014,Financial Sector,ROCE benchmark skipped
RECLTD,Mar 2014,High Debt,Debt/Equity > 5
RECLTD,Mar 2015,Financial Sector,ROCE benchmark skipped
RECLTD,Mar 2015,High Debt,Debt/Equity > 5
RECLTD,Mar 2016,Financial Sector,ROCE benchmark skipped
RECLTD,Mar 2016,High Debt,Debt/Equity > 5
RECLTD,Mar 2017,Financial Sector,ROCE benchmark skipped
RECLTD,Mar 2018,Financial Sector,ROCE benchmark skipped
RECLTD,Mar 2018,High Debt,Debt/Equity > 5
RECLTD,Mar 2019,Financial Sector,ROCE benchmark skipped
RECLTD,Mar 2019,High Debt,Debt/Equity > 5
RECLTD,Mar 2020,Financial Sector,ROCE benchmark skipped
RECLTD,Mar 2020,High Debt,Debt/Equity > 5
RECLTD,Mar 2021,Financial Sector,ROCE benchmark skipped
RECLTD,Mar 2021,High Debt,Debt/Equity > 5
RECLTD,Mar 2022,Financial Sector,ROCE benchmark skipped
RECLTD,Mar 2022,High Debt,Debt/Equity > 5
RECLTD,Mar 2023,Financial Sector,ROCE benchmark skipped
RECLTD,Mar 2023,High Debt,Debt/Equity > 5
RECLTD,Mar 2024,Financial Sector,ROCE benchmark skipped
RECLTD,Mar 2024,High Debt,Debt/Equity > 5
RECLTD,TTM,Financial Sector,ROCE benchmark skipped
SBILIFE,Mar 2013,Financial Sector,ROCE benchmark skipped
SBILIFE,Mar 2014,Financial Sector,ROCE benchmark skipped
