id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr
1079,TECHM,Mar 2014,16.29,22.0,33.35,0.0395,55.2,1.1795,1887.0,291.0,32.0,3.9239,15.0,363,1596.0
1080,TECHM,Mar 2014,16.29,22.0,33.35,0.0395,55.2,1.1795,1887.0,291.0,32.0,3.9239,15.0,363,1596.0
1081,TECHM,Mar 2015,11.75,19.0,21.71,0.0572,62.3043,1.1397,583.0,1865.0,27.0,2.5517,22.0,700,2448.0
1082,TECHM,Mar 2015,11.75,19.0,21.71,0.0572,62.3043,1.1397,583.0,1865.0,27.0,2.5517,22.0,700,2448.0
1083,TECHM,Mar 2016,11.43,16.0,20.75,0.0748,48.5876,1.1762,1684.0,1453.0,31.0,3.3466,35.0,1091,3137.0
1084,TECHM,Mar 2016,11.43,16.0,20.75,0.0748,48.5876,1.1762,1684.0,1453.0,31.0,3.3466,35.0,1091,3137.0
1087,TECHM,Mar 2018,12.3,15.0,20.09,0.1272,37.821,1.0112,235.0,3319.0,39.0,4.2631,33.0,2397,3554.0
1088,TECHM,Mar 2018,12.3,15.0,20.09,0.1272,37.821,1.0112,235.0,3319.0,39.0,4.2631,33.0,2397,3554.0
1089,TECHM,Mar 2019,12.35,18.0,21.14,0.0984,51.1654,1.0387,2328.0,2104.0,44.0,4.5687,29.0,1996,4432.0
1090,TECHM,Mar 2019,12.35,18.0,21.14,0.0984,51.1654,1.0387,2328.0,2104.0,44.0,4.5687,29.0,1996,4432.0
1091,TECHM,Mar 2020,10.57,15.0,17.87,0.1682,34.8698,0.9879,5439.0,1081.0,42.0,5.003,32.0,3670,4358.0
1092,TECHM,Mar 2020,10.57,15.0,17.87,0.1682,34.8698,0.9879,5439.0,1081.0,42.0,5.003,32.0,3670,4358.0
1093,TECHM,Mar 2021,11.5,18.0,17.51,0.1167,43.5862,0.9559,2661.0,5433.0,46.0,5.6899,89.0,2901,8094.0
1094,TECHM,Mar 2021,11.5,18.0,17.51,0.1167,43.5862,0.9559,2661.0,5433.0,46.0,5.6899,89.0,2901,8094.0
1095,TECHM,Mar 2022,12.61,18.0,20.94,0.0974,56.0429,1.0052,5765.0,480.0,57.0,6.1244,47.0,2618,5285.0
1096,TECHM,Mar 2022,12.61,18.0,20.94,0.0974,56.0429,1.0052,5765.0,480.0,57.0,6.1244,47.0,2618,5285.0
1113,TORNTPHARM,Mar 2013,13.58,22.0,30.59,0.4873,20.5294,0.8535,-94.0,247.0,13.0,3.3857,45.0,693,153.0
1114,TORNTPHARM,Mar 2014,15.92,23.0,34.89,0.5949,16.7627,0.8307,181.0,418.0,20.0,2.2388,25.0,1132,599.0
1116,TORNTPHARM,Mar 2016,25.92,41.0,49.6,0.6732,15.0272,0.7525,1873.0,869.0,51.0,4.1106,34.0,2352,2742.0
1117,TORNTPHARM,Mar 2017,16.06,24.0,21.47,0.5769,7.767,0.6058,211.0,798.0,28.0,5.1188,25.0,2510,1009.0
1121,TORNTPHARM,Mar 2021,15.64,31.0,21.45,0.8349,7.187,0.5687,1561.0,444.0,37.0,6.8682,47.0,4874,2005.0
1123,TORNTPHARM,Mar 2023,12.94,30.0,20.09,0.8662,8.6697,0.6585,33.0,2335.0,37.0,3.6675,60.0,5369,2368.0
1124,TORNTPHARM,Mar 2024,15.44,31.0,24.15,0.5866,9.9266,0.7396,3106.0,160.0,49.0,4.0568,57.0,4022,3266.0
1136,TRENT,Mar 2024,11.94,16.0,36.31,0.4309,8.0435,1.7279,841.0,508.0,42.0,11.3,8.0,1753,1349.0
1149,ULTRACEMCO,Mar 2013,13.1,24.0,17.65,0.4821,20.4087,0.6935,-744.0,4362.0,98.0,5.558,9.0,7342,3618.0
1176,INDIGO,Mar 2016,12.3,3164.0,1534.78,0.0618,25.235,82.3469,1779.0,1337.0,55.0,32.35,27.0,8,3116.0
1184,INDIGO,Mar 2024,11.85,16331.0,892.57,0.0186,22.6126,56.3863,9424.0,11759.0,212.0,1.9062,0.0,17,21183.0
